00240,1.25000e-01,7.20089e-07,1.63395e-06,2.35404e-06,-2.35580e-06,1.64670e-09,-4.79809e-08,4.631891e-08
00246,1.28125e-01,7.29081e-07,1.35477e-06,2.08386e-06,-2.08556e-06,1.35350e-09,-4.53752e-08,4.400740e-08
00252,1.31250e-01,7.36369e-07,1.09398e-06,1.83035e-06,-1.83200e-06,1.07925e-09,-4.19961e-08,4.090161e-08
00258,1.34375e-01,7.42079e-07,8.55643e-07,1.59772e-06,-1.59933e-06,8.28222e-10,-3.79371e-08,3.709694e-08
00264,1.37500e-01,7.46363e-07,6.43773e-07,1.39014e-06,-1.39171e-06,6.04598e-10,-3.33289e-08,3.271187e-08
00270,1.40625e-01,7.49397e-07,4.61667e-07,1.21106e-06,-1.21259e-06,4.11829e-10,-2.81088e-08,2.769123e-08
00276,1.43750e-01,7.51375e-07,3.12575e-07,1.06395e-06,-1.06542e-06,2.53331e-10,-2.24538e-08,2.219717e-08
00282,1.46875e-01,7.52511e-07,1.98894e-07,9.51405e-07,-9.52834e-07,1.31622e-10,-1.64164e-08,1.628254e-08
00288,1.50000e-01,7.53033e-07,1.22536e-07,8.75569e-07,-8.76967e-07,4.87188e-11,-1.00654e-08,1.001599e-08
00294,1.53125e-01,7.53178e-07,8.48289e-08,8.38007e-07,-8.39384e-07,6.02848e-12,-3.56109e-09,3.554911e-09
00300,1.56250e-01,7.53189e-07,8.65033e-08,8.39692e-07,-8.41068e-07,4.33966e-12,3.02597e-09,-3.030036e-09
00306,1.59375e-01,7.53313e-07,1.27670e-07,8.80984e-07,-8.82375e-07,4.37949e-11,9.58880e-09,-9.631666e-09
00312,1.62500e-01,7.53797e-07,2.07794e-07,9.61591e-07,-9.63022e-07,1.23864e-10,1.60113e-08,-1.613564e-08
00318,1.65625e-01,7.54880e-07,3.25789e-07,1.08067e-06,-1.08216e-06,2.43441e-10,2.22282e-08,-2.247195e-08
00324,1.68750e-01,7.56794e-07,4.79867e-07,1.23666e-06,-1.23824e-06,4.00691e-10,2.81082e-08,-2.851107e-08
00330,1.71876e-01,7.59760e-07,6.67572e-07,1.42733e-06,-1.42903e-06,5.93084e-10,3.33318e-08,-3.393408e-08
