First,Second,Third,Fourth
0.00000e+00,-2.72285e-05,-1.79558e-07,-2.69337e-05,6.35808e-05
0.00000e+00,-2.72285e-05,-1.79558e-07,-2.69337e-05,6.35808e-05
0.00000e+00,-2.72285e-05,-1.79558e-07,-2.69337e-05,6.35808e-05
0.00000e+00,-2.72285e-05,-1.79558e-07,-2.69337e-05,6.35808e-05
0.00000e+00,-2.72285e-05,-1.79558e-07,-2.69337e-05,6.35808e-05
0.00000e+00,-2.72285e-05,-1.79558e-07,-2.69337e-05,6.35808e-05
0.00000e+00,-2.72285e-05,-1.79558e-07,-2.69337e-05,6.35808e-05
0.00000e+00,-2.72285e-05,-1.79558e-07,-2.69337e-05,6.35808e-05
0.00000e+00,-2.72285e-05,-1.79558e-07,-2.69337e-05,6.35808e-05
0.00000e+00,-2.72285e-05,-1.79558e-07,-2.69337e-05,6.35808e-05
0.00000e+00,-2.72285e-05,-1.79558e-07,-2.69337e-05,6.35808e-05
0.00000e+00,-2.72285e-05,-1.79558e-07,-2.69337e-05,6.35808e-05
0.00000e+00,-2.72285e-05,-1.79558e-07,-2.69337e-05,6.35808e-05
0.00000e+00,-2.72285e-05,-1.79558e-07,-2.69337e-05,6.35808e-05
0.00000e+00,-2.72285e-05,-1.79558e-07,-2.69337e-05,6.35808e-05
0.00000e+00,-2.72285e-05,-1.79558e-07,-2.69337e-05,6.35808e-05
0.00000e+00,-2.72285e-05,-1.79558e-07,-2.69337e-05,6.35808e-05
0.00000e+00,-2.72285e-05,-1.79558e-07,-2.69337e-05,6.35808e-05
0.00000e+00,-2.72285e-05,-1.79558e-07,-2.69337e-05,6.35808e-05
0.00000e+00,-2.72285e-05,-1.79558e-07,-2.69337e-05,6.35808e-05
0.00000e+00,-2.72285e-05,-1.79558e-07,-2.69337e-05,6.35808e-05
0.00000e+00,-2.72285e-05,-1.79558e-07,-2.69337e-05,6.35808e-05
0.00000e+00,-2.72285e-05,-1.79558e-07,-2.69337e-05,6.35808e-05
0.00000e+00,-2.72285e-05,-1.79558e-07,-2.69337e-05,6.35808e-05
0.00000e+00,-2.72285e-05,-1.79558e-07,-2.69337e-05,6.35808e-05
0.00000e+00,-2.72285e-05,-1.79558e-07,-2.69337e-05,6.35808e-05
0.00000e+00,-2.72285e-05,-1.79558e-07,-2.69337e-05,6.35808e-05
0.00000e+00,-2.72285e-05,-1.79558e-07,-2.69337e-05,6.35808e-05
0.00000e+00,-2.72285e-05,-1.79558e-07,-2.69337e-05,6.35808e-05
0.00000e+00,-2.72285e-05,-1.79558e-07,-2.69337e-05,6.35808e-05
0.00000e+00,-2.72285e-05,-1.79558e-07,-2.69337e-05,6.35808e-05
0.00000e+00,-2.72285e-05,-1.79558e-07,-2.69337e-05,6.35808e-05
0.00000e+00,-2.72285e-05,-1.79558e-07,-2.69337e-05,6.35808e-05
0.00000e+00,-2.72285e-05,-1.79558e-07,-2.69337e-05,6.35808e-05
0.00000e+00,-2.72285e-05,-1.79558e-07,-2.69337e-05,6.35808e-05
0.00000e+00,-2.72285e-05,-1.79558e-07,-2.69337e-05,6.35808e-05
0.00000e+00,-2.72285e-05,-1.79558e-07,-2.69337e-05,6.35808e-05
0.00000e+00,-2.72285e-05,-1.79558e-07,-2.69337e-05,6.35808e-05
0.00000e+00,-2.72285e-05,-1.79558e-07,-2.69337e-05,6.35808e-05
0.00000e+00,-2.72285e-05,-1.79558e-07,-2.69337e-05,6.35808e-05
0.00000e+00,-2.72285e-05,-1.79558e-07,-2.69337e-05,6.35808e-05
0.00000e+00,-2.72285e-05,-1.79558e-07,-2.69337e-05,6.35808e-05
0.00000e+00,-2.72285e-05,-1.79558e-07,-2.69337e-05,6.35808e-05
0.00000e+00,-2.72285e-05,-1.79558e-07,-2.69337e-05,6.35808e-05
0.00000e+00,-2.72285e-05,-1.79558e-07,-2.69337e-05,6.35808e-05
0.00000e+00,-2.72285e-05,-1.79558e-07,-2.69337e-05,6.35808e-05
0.00000e+00,-2.72285e-05,-1.79558e-07,-2.69337e-05,6.35808e-05
0.00000e+00,-2.72285e-05,-1.79558e-07,-2.69337e-05,6.35808e-05
0.00000e+00,-2.72285e-05,-1.79558e-07,-2.69337e-05,6.35808e-05
0.00000e+00,-2.72285e-05,-1.79558e-07,-2.69337e-05,6.35808e-05
0.00000e+00,-2.72285e-05,-1.79558e-07,-2.69337e-05,6.35808e-05
0.00000e+00,-2.72285e-05,-1.79558e-07,-2.69337e-05,6.35808e-05
0.00000e+00,-2.72285e-05,-1.79558e-07,-2.69337e-05,6.35808e-05
0.00000e+00,-2.72285e-05,-1.79558e-07,-2.69337e-05,6.35808e-05
0.00000e+00,-2.72285e-05,-1.79558e-07,-2.69337e-05,6.35808e-05
0.00000e+00,-2.72285e-05,-1.79558e-07,-2.69337e-05,6.35808e-05
0.00000e+00,-2.72285e-05,-1.79558e-07,-2.69337e-05,6.35808e-05
0.00000e+00,-2.72285e-05,-1.79558e-07,-2.69337e-05,6.35808e-05
0.00000e+00,-2.72285e-05,-1.79558e-07,-2.69337e-05,6.35808e-05
0.00000e+00,-2.72285e-05,-1.79558e-07,-2.69337e-05,6.35808e-05
0.00000e+00,-2.72285e-05,-1.79558e-07,-2.69337e-05,6.35808e-05
0.00000e+00,-2.72285e-05,-1.79558e-07,-2.69337e-05,6.35808e-05
0.00000e+00,-2.72285e-05,-1.79558e-07,-2.69337e-05,6.35808e-05
0.00000e+00,-2.72285e-05,-1.79558e-07,-2.69337e-05,6.35808e-05
0.00000e+00,-2.72285e-05,-1.79558e-07,-2.69337e-05,6.35808e-05
0.00000e+00,-2.72285e-05,-1.79558e-07,-2.69337e-05,6.35808e-05
0.00000e+00,-2.72285e-05,-1.79558e-07,-2.69337e-05,6.35808e-05
0.00000e+00,-2.72285e-05,-1.79558e-07,-2.69337e-05,6.35808e-05
0.00000e+00,-2.72285e-05,-1.79558e-07,-2.69337e-05,6.35808e-05
0.00000e+00,-2.72285e-05,-1.79558e-07,-2.69337e-05,6.35808e-05
0.00000e+00,-2.72285e-05,-1.79558e-07,-2.69337e-05,6.35808e-05
0.00000e+00,-2.72285e-05,-1.79558e-07,-2.69337e-05,6.35808e-05
0.00000e+00,-2.72285e-05,-1.79558e-07,-2.69337e-05,6.35808e-05
0.00000e+00,-2.72285e-05,-1.79558e-07,-2.69337e-05,6.35808e-05
0.00000e+00,-2.72285e-05,-1.79558e-07,-2.69337e-05,6.35808e-05
0.00000e+00,-2.72285e-05,-1.79558e-07,-2.69337e-05,6.35808e-05
0.00000e+00,-2.72285e-05,-1.79558e-07,-2.69337e-05,6.35808e-05
0.00000e+00,-2.72285e-05,-1.79558e-07,-2.69337e-05,6.35808e-05
0.00000e+00,-2.72285e-05,-1.79558e-07,-2.69337e-05,6.35808e-05
0.00000e+00,-2.72285e-05,-1.79558e-07,-2.69337e-05,6.35808e-05
0.00000e+00,-2.72285e-05,-1.79558e-07,-2.69337e-05,6.35808e-05
0.00000e+00,-2.72285e-05,-1.79558e-07,-2.69337e-05,6.35808e-05
0.00000e+00,-2.72285e-05,-1.79558e-07,-2.69337e-05,6.35808e-05
0.00000e+00,-2.72285e-05,-1.79558e-07,-2.69337e-05,6.35808e-05
0.00000e+00,-2.72285e-05,-1.79558e-07,-2.69337e-05,6.35808e-05
0.00000e+00,-2.72285e-05,-1.79558e-07,-2.69337e-05,6.35808e-05
0.00000e+00,-2.72285e-05,-1.79558e-07,-2.69337e-05,6.35808e-05
0.00000e+00,-2.72285e-05,-1.79558e-07,-2.69337e-05,6.35808e-05
0.00000e+00,-2.72285e-05,-1.79558e-07,-2.69337e-05,6.35808e-05
0.00000e+00,-2.72285e-05,-1.79558e-07,-2.69337e-05,6.35808e-05
0.00000e+00,-2.72285e-05,-1.79558e-07,-2.69337e-05,6.35808e-05
0.00000e+00,-2.72285e-05,-1.79558e-07,-2.69337e-05,6.35808e-05
0.00000e+00,-2.72285e-05,-1.79558e-07,-2.69337e-05,6.35808e-05
0.00000e+00,-2.72285e-05,-1.79558e-07,-2.69337e-05,6.35808e-05
0.00000e+00,-2.72285e-05,-1.79558e-07,-2.69337e-05,6.35808e-05
0.00000e+00,-2.72285e-05,-1.79558e-07,-2.69337e-05,6.35808e-05
