First,Second,Third,Fourth
0.00000e+00,2.66514e-05,-1.73675e-07,-1.33382e-03,-8.47107e-05
0.00000e+00,2.66514e-05,-1.73675e-07,-1.33382e-03,-8.47107e-05
0.00000e+00,2.66514e-05,-1.73675e-07,-1.33382e-03,-8.47107e-05
0.00000e+00,2.66514e-05,-1.73675e-07,-1.33382e-03,-8.47107e-05
0.00000e+00,2.66514e-05,-1.73675e-07,-1.33382e-03,-8.47107e-05
0.00000e+00,2.66514e-05,-1.73675e-07,-1.33382e-03,-8.47107e-05
0.00000e+00,2.66514e-05,-1.73675e-07,-1.33382e-03,-8.47107e-05
0.00000e+00,2.66514e-05,-1.73675e-07,-1.33382e-03,-8.47107e-05
0.00000e+00,2.66514e-05,-1.73675e-07,-1.33382e-03,-8.47107e-05
0.00000e+00,2.66514e-05,-1.73675e-07,-1.33382e-03,-8.47107e-05
0.00000e+00,2.66514e-05,-1.73675e-07,-1.33382e-03,-8.47107e-05
0.00000e+00,2.66514e-05,-1.73675e-07,-1.33382e-03,-8.47107e-05
0.00000e+00,2.66514e-05,-1.73675e-07,-1.33382e-03,-8.47107e-05
0.00000e+00,2.66514e-05,-1.73675e-07,-1.33382e-03,-8.47107e-05
0.00000e+00,2.66514e-05,-1.73675e-07,-1.33382e-03,-8.47107e-05
0.00000e+00,2.66514e-05,-1.73675e-07,-1.33382e-03,-8.47107e-05
0.00000e+00,2.66514e-05,-1.73675e-07,-1.33382e-03,-8.47107e-05
0.00000e+00,2.66514e-05,-1.73675e-07,-1.33382e-03,-8.47107e-05
0.00000e+00,2.66514e-05,-1.73675e-07,-1.33382e-03,-8.47107e-05
0.00000e+00,2.66514e-05,-1.73675e-07,-1.33382e-03,-8.47107e-05
0.00000e+00,2.66514e-05,-1.73675e-07,-1.33382e-03,-8.47107e-05
0.00000e+00,2.66514e-05,-1.73675e-07,-1.33382e-03,-8.47107e-05
0.00000e+00,2.66514e-05,-1.73675e-07,-1.33382e-03,-8.47107e-05
0.00000e+00,2.66514e-05,-1.73675e-07,-1.33382e-03,-8.47107e-05
0.00000e+00,2.66514e-05,-1.73675e-07,-1.33382e-03,-8.47107e-05
0.00000e+00,2.66514e-05,-1.73675e-07,-1.33382e-03,-8.47107e-05
0.00000e+00,2.66514e-05,-1.73675e-07,-1.33382e-03,-8.47107e-05
0.00000e+00,2.66514e-05,-1.73675e-07,-1.33382e-03,-8.47107e-05
0.00000e+00,2.66514e-05,-1.73675e-07,-1.33382e-03,-8.47107e-05
0.00000e+00,2.66514e-05,-1.73675e-07,-1.33382e-03,-8.47107e-05
0.00000e+00,2.66514e-05,-1.73675e-07,-1.33382e-03,-8.47107e-05
0.00000e+00,2.66514e-05,-1.73675e-07,-1.33382e-03,-8.47107e-05
0.00000e+00,2.66514e-05,-1.73675e-07,-1.33382e-03,-8.47107e-05
0.00000e+00,2.66514e-05,-1.73675e-07,-1.33382e-03,-8.47107e-05
0.00000e+00,2.66514e-05,-1.73675e-07,-1.33382e-03,-8.47107e-05
0.00000e+00,2.66514e-05,-1.73675e-07,-1.33382e-03,-8.47107e-05
0.00000e+00,2.66514e-05,-1.73675e-07,-1.33382e-03,-8.47107e-05
0.00000e+00,2.66514e-05,-1.73675e-07,-1.33382e-03,-8.47107e-05
0.00000e+00,2.66514e-05,-1.73675e-07,-1.33382e-03,-8.47107e-05
0.00000e+00,2.66514e-05,-1.73675e-07,-1.33382e-03,-8.47107e-05
0.00000e+00,2.66514e-05,-1.73675e-07,-1.33382e-03,-8.47107e-05
0.00000e+00,2.66514e-05,-1.73675e-07,-1.33382e-03,-8.47107e-05
0.00000e+00,2.66514e-05,-1.73675e-07,-1.33382e-03,-8.47107e-05
0.00000e+00,2.66514e-05,-1.73675e-07,-1.33382e-03,-8.47107e-05
0.00000e+00,2.66514e-05,-1.73675e-07,-1.33382e-03,-8.47107e-05
0.00000e+00,2.66514e-05,-1.73675e-07,-1.33382e-03,-8.47107e-05
0.00000e+00,2.66514e-05,-1.73675e-07,-1.33382e-03,-8.47107e-05
0.00000e+00,2.66514e-05,-1.73675e-07,-1.33382e-03,-8.47107e-05
