xCor,zCor,zPrime,ignore1,ignore2
0.00000e+00,1.46988e-05,2.93271e-07,2.25232e-03,-4.77170e-05
0.00000e+00,1.46988e-05,2.93271e-07,2.25232e-03,-4.77170e-05
0.00000e+00,1.46988e-05,2.93271e-07,2.25232e-03,-4.77170e-05
0.00000e+00,1.46988e-05,2.93271e-07,2.25232e-03,-4.77170e-05
0.00000e+00,1.46988e-05,2.93271e-07,2.25232e-03,-4.77170e-05
0.00000e+00,1.46988e-05,2.93271e-07,2.25232e-03,-4.77170e-05
0.00000e+00,1.46988e-05,2.93271e-07,2.25232e-03,-4.77170e-05
0.00000e+00,1.46988e-05,2.93271e-07,2.25232e-03,-4.77170e-05
0.00000e+00,1.46988e-05,2.93271e-07,2.25232e-03,-4.77170e-05
0.00000e+00,1.46988e-05,2.93271e-07,2.25232e-03,-4.77170e-05
0.00000e+00,1.46988e-05,2.93271e-07,2.25232e-03,-4.77170e-05
0.00000e+00,1.46988e-05,2.93271e-07,2.25232e-03,-4.77170e-05
0.00000e+00,1.46988e-05,2.93271e-07,2.25232e-03,-4.77170e-05
0.00000e+00,1.46988e-05,2.93271e-07,2.25232e-03,-4.77170e-05
0.00000e+00,1.46988e-05,2.93271e-07,2.25232e-03,-4.77170e-05
0.00000e+00,1.46988e-05,2.93271e-07,2.25232e-03,-4.77170e-05
0.00000e+00,1.46988e-05,2.93271e-07,2.25232e-03,-4.77170e-05
0.00000e+00,1.46988e-05,2.93271e-07,2.25232e-03,-4.77170e-05
0.00000e+00,1.46988e-05,2.93271e-07,2.25232e-03,-4.77170e-05
0.00000e+00,1.46988e-05,2.93271e-07,2.25232e-03,-4.77170e-05
0.00000e+00,1.46988e-05,2.93271e-07,2.25232e-03,-4.77170e-05
0.00000e+00,1.46988e-05,2.93271e-07,2.25232e-03,-4.77170e-05
0.00000e+00,1.46988e-05,2.93271e-07,2.25232e-03,-4.77170e-05
0.00000e+00,1.46988e-05,2.93271e-07,2.25232e-03,-4.77170e-05
0.00000e+00,1.46988e-05,2.93271e-07,2.25232e-03,-4.77170e-05
0.00000e+00,1.46988e-05,2.93271e-07,2.25232e-03,-4.77170e-05
0.00000e+00,1.46988e-05,2.93271e-07,2.25232e-03,-4.77170e-05
0.00000e+00,1.46988e-05,2.93271e-07,2.25232e-03,-4.77170e-05
0.00000e+00,1.46988e-05,2.93271e-07,2.25232e-03,-4.77170e-05
0.00000e+00,1.46988e-05,2.93271e-07,2.25232e-03,-4.77170e-05
0.00000e+00,1.46988e-05,2.93271e-07,2.25232e-03,-4.77170e-05
0.00000e+00,1.46988e-05,2.93271e-07,2.25232e-03,-4.77170e-05
0.00000e+00,1.46988e-05,2.93271e-07,2.25232e-03,-4.77170e-05
0.00000e+00,1.46988e-05,2.93271e-07,2.25232e-03,-4.77170e-05
0.00000e+00,1.46988e-05,2.93271e-07,2.25232e-03,-4.77170e-05
0.00000e+00,1.46988e-05,2.93271e-07,2.25232e-03,-4.77170e-05
0.00000e+00,1.46988e-05,2.93271e-07,2.25232e-03,-4.77170e-05
0.00000e+00,1.46988e-05,2.93271e-07,2.25232e-03,-4.77170e-05
0.00000e+00,1.46988e-05,2.93271e-07,2.25232e-03,-4.77170e-05
0.00000e+00,1.46988e-05,2.93271e-07,2.25232e-03,-4.77170e-05
0.00000e+00,1.46988e-05,2.93271e-07,2.25232e-03,-4.77170e-05
0.00000e+00,1.46988e-05,2.93271e-07,2.25232e-03,-4.77170e-05
0.00000e+00,1.46988e-05,2.93271e-07,2.25232e-03,-4.77170e-05
0.00000e+00,1.46988e-05,2.93271e-07,2.25232e-03,-4.77170e-05
0.00000e+00,1.46988e-05,2.93271e-07,2.25232e-03,-4.77170e-05
0.00000e+00,1.46988e-05,2.93271e-07,2.25232e-03,-4.77170e-05
0.00000e+00,1.46988e-05,2.93271e-07,2.25232e-03,-4.77170e-05
0.00000e+00,1.46988e-05,2.93271e-07,2.25232e-03,-4.77170e-05
0.00000e+00,1.46988e-05,2.93271e-07,2.25232e-03,-4.77170e-05
0.00000e+00,1.46988e-05,2.93271e-07,2.25232e-03,-4.77170e-05
0.00000e+00,1.46988e-05,2.93271e-07,2.25232e-03,-4.77170e-05
0.00000e+00,1.46988e-05,2.93271e-07,2.25232e-03,-4.77170e-05
0.00000e+00,1.46988e-05,2.93271e-07,2.25232e-03,-4.77170e-05
0.00000e+00,1.46988e-05,2.93271e-07,2.25232e-03,-4.77170e-05
0.00000e+00,1.46988e-05,2.93271e-07,2.25232e-03,-4.77170e-05
0.00000e+00,1.46988e-05,2.93271e-07,2.25232e-03,-4.77170e-05
0.00000e+00,1.46988e-05,2.93271e-07,2.25232e-03,-4.77170e-05
0.00000e+00,1.46988e-05,2.93271e-07,2.25232e-03,-4.77170e-05
0.00000e+00,1.46988e-05,2.93271e-07,2.25232e-03,-4.77170e-05
0.00000e+00,1.46988e-05,2.93271e-07,2.25232e-03,-4.77170e-05
0.00000e+00,1.46988e-05,2.93271e-07,2.25232e-03,-4.77170e-05
0.00000e+00,1.46988e-05,2.93271e-07,2.25232e-03,-4.77170e-05
0.00000e+00,1.46988e-05,2.93271e-07,2.25232e-03,-4.77170e-05
0.00000e+00,1.46988e-05,2.93271e-07,2.25232e-03,-4.77170e-05
0.00000e+00,1.46988e-05,2.93271e-07,2.25232e-03,-4.77170e-05
0.00000e+00,1.46988e-05,2.93271e-07,2.25232e-03,-4.77170e-05
0.00000e+00,1.46988e-05,2.93271e-07,2.25232e-03,-4.77170e-05
0.00000e+00,1.46988e-05,2.93271e-07,2.25232e-03,-4.77170e-05
0.00000e+00,1.46988e-05,2.93271e-07,2.25232e-03,-4.77170e-05
0.00000e+00,1.46988e-05,2.93271e-07,2.25232e-03,-4.77170e-05
0.00000e+00,1.46988e-05,2.93271e-07,2.25232e-03,-4.77170e-05
0.00000e+00,1.46988e-05,2.93271e-07,2.25232e-03,-4.77170e-05
0.00000e+00,1.46988e-05,2.93271e-07,2.25232e-03,-4.77170e-05
0.00000e+00,1.46988e-05,2.93271e-07,2.25232e-03,-4.77170e-05
0.00000e+00,1.46988e-05,2.93271e-07,2.25232e-03,-4.77170e-05
0.00000e+00,1.46988e-05,2.93271e-07,2.25232e-03,-4.77170e-05
0.00000e+00,1.46988e-05,2.93271e-07,2.25232e-03,-4.77170e-05
0.00000e+00,1.46988e-05,2.93271e-07,2.25232e-03,-4.77170e-05
0.00000e+00,1.46988e-05,2.93271e-07,2.25232e-03,-4.77170e-05
0.00000e+00,1.46988e-05,2.93271e-07,2.25232e-03,-4.77170e-05
0.00000e+00,1.46988e-05,2.93271e-07,2.25232e-03,-4.77170e-05
0.00000e+00,1.46988e-05,2.93271e-07,2.25232e-03,-4.77170e-05
0.00000e+00,1.46988e-05,2.93271e-07,2.25232e-03,-4.77170e-05
0.00000e+00,1.46988e-05,2.93271e-07,2.25232e-03,-4.77170e-05
0.00000e+00,1.46988e-05,2.93271e-07,2.25232e-03,-4.77170e-05
0.00000e+00,1.46988e-05,2.93271e-07,2.25232e-03,-4.77170e-05
0.00000e+00,1.46988e-05,2.93271e-07,2.25232e-03,-4.77170e-05
0.00000e+00,1.46988e-05,2.93271e-07,2.25232e-03,-4.77170e-05
0.00000e+00,1.46988e-05,2.93271e-07,2.25232e-03,-4.77170e-05
0.00000e+00,1.46988e-05,2.93271e-07,2.25232e-03,-4.77170e-05
0.00000e+00,1.46988e-05,2.93271e-07,2.25232e-03,-4.77170e-05
0.00000e+00,1.46988e-05,2.93271e-07,2.25232e-03,-4.77170e-05
0.00000e+00,1.46988e-05,2.93271e-07,2.25232e-03,-4.77170e-05
0.00000e+00,1.46988e-05,2.93271e-07,2.25232e-03,-4.77170e-05
0.00000e+00,1.46988e-05,2.93271e-07,2.25232e-03,-4.77170e-05
0.00000e+00,1.46988e-05,2.93271e-07,2.25232e-03,-4.77170e-05
