First,Second,Third,Fourth
0.00000e+00,6.49163e-05,-7.59805e-08,-5.69854e-06,-5.36224e-05
0.00000e+00,6.49163e-05,-7.59805e-08,-5.69854e-06,-5.36224e-05
0.00000e+00,6.49163e-05,-7.59805e-08,-5.69854e-06,-5.36224e-05
0.00000e+00,6.49163e-05,-7.59805e-08,-5.69854e-06,-5.36224e-05
0.00000e+00,6.49163e-05,-7.59805e-08,-5.69854e-06,-5.36224e-05
0.00000e+00,6.49163e-05,-7.59805e-08,-5.69854e-06,-5.36224e-05
0.00000e+00,6.49163e-05,-7.59805e-08,-5.69854e-06,-5.36224e-05
0.00000e+00,6.49163e-05,-7.59805e-08,-5.69854e-06,-5.36224e-05
0.00000e+00,6.49163e-05,-7.59805e-08,-5.69854e-06,-5.36224e-05
0.00000e+00,6.49163e-05,-7.59805e-08,-5.69854e-06,-5.36224e-05
0.00000e+00,6.49163e-05,-7.59805e-08,-5.69854e-06,-5.36224e-05
0.00000e+00,6.49163e-05,-7.59805e-08,-5.69854e-06,-5.36224e-05
0.00000e+00,6.49163e-05,-7.59805e-08,-5.69854e-06,-5.36224e-05
0.00000e+00,6.49163e-05,-7.59805e-08,-5.69854e-06,-5.36224e-05
0.00000e+00,6.49163e-05,-7.59805e-08,-5.69854e-06,-5.36224e-05
0.00000e+00,6.49163e-05,-7.59805e-08,-5.69854e-06,-5.36224e-05
0.00000e+00,6.49163e-05,-7.59805e-08,-5.69854e-06,-5.36224e-05
0.00000e+00,6.49163e-05,-7.59805e-08,-5.69854e-06,-5.36224e-05
0.00000e+00,6.49163e-05,-7.59805e-08,-5.69854e-06,-5.36224e-05
0.00000e+00,6.49163e-05,-7.59805e-08,-5.69854e-06,-5.36224e-05
0.00000e+00,6.49163e-05,-7.59805e-08,-5.69854e-06,-5.36224e-05
0.00000e+00,6.49163e-05,-7.59805e-08,-5.69854e-06,-5.36224e-05
0.00000e+00,6.49163e-05,-7.59805e-08,-5.69854e-06,-5.36224e-05
0.00000e+00,6.49163e-05,-7.59805e-08,-5.69854e-06,-5.36224e-05
0.00000e+00,6.49163e-05,-7.59805e-08,-5.69854e-06,-5.36224e-05
0.00000e+00,6.49163e-05,-7.59805e-08,-5.69854e-06,-5.36224e-05
0.00000e+00,6.49163e-05,-7.59805e-08,-5.69854e-06,-5.36224e-05
